Datum,Bundesland,Bundesland_Id,Altersgruppe,7T_Hospitalisierung_Faelle,7T_Hospitalisierung_Inzidenz
2021-11-16,Baden-Württemberg,08,80+,266,35.37
2021-11-16,Bayern,09,00-04,25,3.87
2021-11-16,Bayern,09,00+,1552,11.81
2021-11-16,Bayern,09,05-14,17,1.45
2021-11-16,Bayern,09,15-34,121,3.9
2021-11-16,Bayern,09,35-59,350,7.61
2021-11-16,Bayern,09,60-79,561,20.44
2021-11-16,Bayern,09,80+,478,54.84
2021-11-16,Saarland,10,00-04,1,2.42
2021-11-16,Saarland,10,00+,35,3.56
2021-11-16,Saarland,10,05-14,1,1.25
2021-11-16,Saarland,10,15-34,1,0.47
2021-11-16,Saarland,10,35-59,11,3.33
2021-11-16,Saarland,10,60-79,11,4.53
2021-11-16,Saarland,10,80+,10,12.81
2021-11-16,Berlin,11,00-04,1,0.52
2021-11-16,Berlin,11,00+,150,4.09
2021-11-16,Berlin,11,05-14,9,2.71
2021-11-16,Berlin,11,15-34,22,2.32
2021-11-16,Berlin,11,35-59,24,1.88
2021-11-16,Berlin,11,60-79,54,7.77
2021-11-16,Berlin,11,80+,40,18.08
2021-11-16,Brandenburg,12,00-04,1,0.92
2021-11-16,Brandenburg,12,00+,119,4.7
2021-11-16,Brandenburg,12,05-14,5,2.17
2021-11-16,Brandenburg,12,15-34,8,1.83
2021-11-16,Brandenburg,12,35-59,27,2.97
2021-11-16,Brandenburg,12,60-79,39,6.1
2021-11-16,Brandenburg,12,80+,39,18.69
2021-11-16,Mecklenburg-Vorpommern,13,00-04,2,3.02
2021-11-16,Mecklenburg-Vorpommern,13,00+,140,8.69
2021-11-16,Mecklenburg-Vorpommern,13,05-14,2,1.42
2021-11-16,Mecklenburg-Vorpommern,13,15-34,2,0.68
2021-11-16,Mecklenburg-Vorpommern,13,35-59,27,4.88
2021-11-16,Mecklenburg-Vorpommern,13,60-79,49,11.64
2021-11-16,Mecklenburg-Vorpommern,13,80+,58,43.47
2021-11-16,Sachsen,14,00-04,13,7.21
2021-11-16,Sachsen,14,00+,329,8.11
2021-11-16,Sachsen,14,05-14,11,3.01
2021-11-16,Sachsen,14,15-34,19,2.42
2021-11-16,Sachsen,14,35-59,46,3.4
2021-11-16,Sachsen,14,60-79,115,11.37
2021-11-16,Sachsen,14,80+,125,34.53
2021-11-16,Sachsen-Anhalt,15,00-04,6,6.81
2021-11-16,Sachsen-Anhalt,15,00+,255,11.69
2021-11-16,Sachsen-Anhalt,15,05-14,4,2.19
2021-11-16,Sachsen-Anhalt,15,15-34,13,3.31
2021-11-16,Sachsen-Anhalt,15,35-59,59,7.96
2021-11-16,Sachsen-Anhalt,15,60-79,91,15.58
2021-11-16,Sachsen-Anhalt,15,80+,82,42.86
2021-11-16,Thüringen,16,00-04,9,10.27
2021-11-16,Thüringen,16,00+,475,22.4
2021-11-16,Thüringen,16,05-14,3,1.63
2021-11-16,Thüringen,16,15-34,24,6.2
2021-11-16,Thüringen,16,35-59,88,12.18
2021-11-16,Thüringen,16,60-79,198,35.4
2021-11-16,Thüringen,16,80+,152,84.84
2021-11-15,Bundesgebiet,00,00-04,100,2.52
2021-11-15,Bundesgebiet,00,00+,6060,7.29
2021-11-15,Bundesgebiet,00,05-14,116,1.54
2021-11-15,Bundesgebiet,00,15-34,520,2.75
2021-11-15,Bundesgebiet,00,35-59,1322,4.61
2021-11-15,Bundesgebiet,00,60-79,2097,11.55
2021-11-15,Bundesgebiet,00,80+,1903,32.06
2021-11-15,Schleswig-Holstein,01,00-04,1,0.77
2021-11-15,Schleswig-Holstein,01,00+,119,4.09
2021-11-15,Schleswig-Holstein,01,05-14,8,3.07
2021-11-15,Schleswig-Holstein,01,15-34,9,1.43
2021-11-15,Schleswig-Holstein,01,35-59,33,3.27
2021-11-15,Schleswig-Holstein,01,60-79,43,6.49
2021-11-15,Schleswig-Holstein,01,80+,25,11.35
2021-11-15,Hamburg,02,00-04,1,1.01
2021-11-15,Hamburg,02,00+,67,3.62
2021-11-15,Hamburg,02,05-14,2,1.2
2021-11-15,Hamburg,02,15-34,6,1.22
2021-11-15,Hamburg,02,35-59,13,1.99
2021-11-15,Hamburg,02,60-79,26,7.98
2021-11-15,Hamburg,02,80+,19,16.88
2021-11-15,Niedersachsen,03,00-04,3,0.79
2021-11-15,Niedersachsen,03,00+,225,2.81
2021-11-15,Niedersachsen,03,05-14,4,0.55
2021-11-15,Niedersachsen,03,15-34,26,1.43
2021-11-15,Niedersachsen,03,35-59,50,1.83
2021-11-15,Niedersachsen,03,60-79,59,3.33
2021-11-15,Niedersachsen,03,80+,83,14.31
2021-11-15,Bremen,04,00-04,0,0
2021-11-15,Bremen,04,00+,26,3.82
2021-11-15,Bremen,04,05-14,0,0
2021-11-15,Bremen,04,15-34,7,4.05
2021-11-15,Bremen,04,35-59,6,2.66
2021-11-15,Bremen,04,60-79,5,3.57
